attribute,method,demographic_parity_gap,equal_opportunity_gap,false_positive_rate_gap,accuracy,precision,recall,f1,auc,thresholds_json
gender,global_threshold,0.05023215641022999,0.041541384983836305,0.029683801869604454,,,,,,
gender,group_threshold,0.0032190523943133043,0.004012688473717718,0.01912087724974032,0.7593189139438564,0.8067474615132656,0.7155723416618245,0.7584295612009238,0.8463047611781814,"{""F"": 0.4649999999999999, ""M"": 0.5199999999999999}"
age_band,global_threshold,0.28559760633996445,0.18827111464124968,0.12870252928448855,,,,,,
age_band,group_threshold,0.16051269610221575,0.1161716171617162,0.01793130891094033,0.7570179475379659,0.8051905387647832,0.7120859965136549,0.755781683626272,0.8463047611781814,"{""0-35"": 0.5149999999999999, ""35-55"": 0.4499999999999999, ""55<="": 0.295}"
disability,global_threshold,0.09126511913886648,0.044709787963161274,0.023462650733889895,,,,,,
disability,group_threshold,0.06604267813840747,0.02844194785724019,0.015769083865335293,0.7576315385795367,0.805045871559633,0.7138291690877396,0.7566984909146904,0.8463047611781814,"{""N"": 0.49499999999999994, ""Y"": 0.5199999999999999}"
imd_band,global_threshold,0.17397236303186403,0.09462365591397848,0.0957605274406435,,,,,,
imd_band,group_threshold,0.15894081184063613,0.09160375200183024,0.11789779326364694,0.7556373676944317,0.8026186579378068,0.7123765252760024,0.7548099122672003,0.8463047611781814,"{""0-10%"": 0.5149999999999999, ""10-20"": 0.5299999999999999, ""20-30%"": 0.4799999999999999, ""30-40%"": 0.49499999999999994, ""40-50%"": 0.5149999999999999, ""50-60%"": 0.4649999999999999, ""60-70%"": 0.5349999999999999, ""70-80%"": 0.5199999999999999, ""80-90%"": 0.4749999999999999, ""90-100%"": 0.43999999999999995}"
region,global_threshold,0.1468590831918506,0.17936354869816773,0.08680051072073261,,,,,,
region,group_threshold,0.099016480595428,0.07818261633011414,0.10953496442824917,0.759012118423071,0.8062193126022913,0.7155723416618245,0.7581960905033093,0.8463047611781814,"{""East Anglian Region"": 0.5099999999999999, ""East Midlands Region"": 0.48499999999999993, ""Ireland"": 0.41999999999999993, ""London Region"": 0.5499999999999999, ""North Region"": 0.5499999999999999, ""North Western Region"": 0.5249999999999999, ""Scotland"": 0.4099999999999999, ""South East Region"": 0.5399999999999999, ""South Region"": 0.5099999999999999, ""South West Region"": 0.5149999999999999, ""Wales"": 0.44499999999999995, ""West Midlands Region"": 0.5099999999999999, ""Yorkshire Region"": 0.5149999999999999}"
